study_uid,series_uid,status,reason,n_files,modality,sop_class,rows,columns,pixel_spacing,orientation,n_missing_ipp,n_missing_iop,n_orientation_groups,n_pixel_spacing_groups,n_duplicate_positions,median_spacing_mm,min_spacing_mm,max_spacing_mm,max_spacing_deviation_pct,instance_min,instance_max
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,VALID,,22,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.33007812,0.33007812","-0.03349328,0.99921125,0.02133215,0.05801958,0.02325205,-0.99804461",0,0,1,,0,4.634557,4.634542,4.634557,0.0003,1,22
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,VALID,,18,MR,1.2.840.10008.5.1.4.1.1.4,560,560,"0.28771234,0.28771234","0.99478304,-0.10110892,0.01355419,0.09998968,0.99273771,0.06688710",0,0,1,,0,7.718183,7.718179,7.718184,0.0001,1,18
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.23084836536722595275828690293168736174,VALID,,16,MR,1.2.840.10008.5.1.4.1.1.4,576,576,"0.29891017,0.29891017","0.99682224,-0.07891389,-0.01086589,-0.00512753,0.07255845,-0.99735099",0,0,1,,0,6.594822,6.594819,6.594828,0.0001,1,16
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697,VALID,,16,MR,1.2.840.10008.5.1.4.1.1.4,560,560,"0.30745044,0.30745044","0.99682224,-0.07891389,-0.01086589,-0.00512753,0.07255845,-0.99735099",0,0,1,,0,6.594822,6.594819,6.594828,0.0001,1,16
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.75714899997203615784077798038670363546,VALID,,22,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.26406249,0.26406249","-0.03349328,0.99921125,0.02133215,0.05801958,0.02325205,-0.99804461",0,0,1,,0,4.634557,4.634542,4.634557,0.0003,1,22
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.27845969797953115400959653384511165237,VALID,,34,MR,1.2.840.10008.5.1.4.1.1.4,768,768,"0.22140000,0.22140000","-0.00018944,0.99999300,0.00383791,-0.03065490,0.00383030,-0.99952300",0,0,1,,0,3.000011,2.999408,3.000411,0.0201,1,34
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.72137122913943091996840828871969421711,VALID,,34,MR,1.2.840.10008.5.1.4.1.1.4,768,768,"0.22140000,0.22140000","-0.00018944,0.99999300,0.00383791,-0.03065490,0.00383030,-0.99952300",0,0,1,,0,3.000011,2.999408,3.000411,0.0201,1,34
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.83327574802189551711953505990029424266,VALID,,38,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23440000,0.23440000","0.99984300,-0.00830982,-0.01562460,0.00837647,0.99995600,0.00420478",0,0,1,,0,3.599969,3.599469,3.600469,0.0139,1,38
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.87374594163896635184044513927478147680,VALID,,30,MR,1.2.840.10008.5.1.4.1.1.4,640,540,"0.25000000,0.25000000","0.99954100,-0.00028917,-0.03029930,-0.03002550,0.12499500,-0.99170300",0,0,1,,0,3.600018,3.599930,3.600042,0.0024,1,30
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.99023014295026495734071089488213553280,VALID,,30,MR,1.2.840.10008.5.1.4.1.1.4,640,540,"0.25000000,0.25000000","0.99954100,-0.00028917,-0.03029930,-0.03002550,0.12499500,-0.99170300",0,0,1,,0,3.600018,3.599930,3.600042,0.0024,1,30
