label,positive,negative,missing,labeled,coverage,positive_among_labeled
ACL,298,700,3351,998,0.2294780409289492,0.2985971943887776
MCL,81,780,3488,861,0.19797654633249023,0.09407665505226481
Medial Meniscus,583,64,3702,647,0.14876983214532077,0.9010819165378671
Lateral Meniscus,286,152,3911,438,0.10071280754196367,0.6529680365296804
Medial OA,87,0,4262,87,0.02000459875833525,1.0
Lateral OA,34,0,4315,34,0.00781788916992412,1.0
PF OA,110,0,4239,110,0.025293170843872153,1.0
Effusion,1594,507,2248,2101,0.48309956311795815,0.7586863398381724
Synovitis,394,0,3955,394,0.09059553920441481,1.0
Baker's,476,421,3452,897,0.2062543113359393,0.5306577480490524
Contusion,245,390,3714,635,0.14601057714417107,0.3858267716535433
Fracture,244,441,3664,685,0.15750747298229478,0.3562043795620438
