study_uid,series_uid,status,n_directory_files,n_dicom_files,shape_z,shape_y,shape_x,dtype,spacing_x,spacing_y,spacing_z,origin_x,origin_y,origin_z,conversion_seconds,output_path,error
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.31741811035194354173478691569737355732,SUCCESS,20,20,20,512,512,int16,0.332,0.332,3.9999713068396074,154.807,-153.427,89.7205,0.08427164499880746,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.31741811035194354173478691569737355732.zarr,
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.71462627071432782612166533162526483355,SUCCESS,27,27,27,512,512,int16,0.332,0.332,3.999988995757792,42.9595,-135.551,80.5439,0.09762078900530469,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.71462627071432782612166533162526483355.zarr,
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.78517915125227969420323795995142127096,SUCCESS,24,24,24,512,512,int16,0.332,0.332,3.9999996878378887,63.2144,-159.572,-54.6012,0.08354619699821342,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.78517915125227969420323795995142127096.zarr,
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.12296387404690065979747592907647620416,SUCCESS,26,26,26,672,672,int16,0.2679,0.2679,3.900000348633382,151.89428711,-74.99341583,106.24594879,0.11708415800239891,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.12296387404690065979747592907647620416.zarr,
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.17927783255029019223687232936481918350,SUCCESS,26,26,26,512,512,int16,0.3516,0.3516,3.900000348633382,151.89428711,-74.99341583,106.24594879,0.07932294700003695,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.17927783255029019223687232936481918350.zarr,
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.47103829651127852726285439804808053437,SUCCESS,26,26,26,640,640,int16,0.2813,0.2813,3.900000348633382,151.89428711,-74.99341583,106.24594879,0.09927487700042548,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.47103829651127852726285439804808053437.zarr,
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.52503045794545563216216974185473269584,SUCCESS,40,40,40,512,512,int16,0.3516,0.3516,4.399999977995144,21.87597466,-115.36291504,-71.18869019,0.10897607500373852,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.52503045794545563216216974185473269584.zarr,
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.58180411352017518670923060837962824092,SUCCESS,41,41,41,512,512,int16,0.3711,0.3711,3.5000000266758087,19.14081573,-116.61847687,108.66516876,0.11824054799944861,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.58180411352017518670923060837962824092.zarr,
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.10039810104099273075015998627058683073,SUCCESS,32,32,32,496,496,uint16,0.342742,0.342742,3.299996797056435,125.065,-100.975,74.5514,0.12042066799767781,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394/1.2.826.0.1.3680043.8.498.10039810104099273075015998627058683073.zarr,
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.12085504130809929729103897247086930468,SUCCESS,36,36,36,448,462,uint16,0.357143,0.357143,3.3000023602885804,-11.4235,-92.7993,-65.7807,0.11197834299673559,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394/1.2.826.0.1.3680043.8.498.12085504130809929729103897247086930468.zarr,
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.22350941940168581233659964138249514718,SUCCESS,32,32,32,464,464,uint16,0.366379,0.366379,3.299996797056435,125.065,-100.975,74.5514,0.10273900700121885,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394/1.2.826.0.1.3680043.8.498.22350941940168581233659964138249514718.zarr,
