study_uid,series_uid,source,dicom_dir,zarr_path,zarr_exists,dicom_exists,dicom_size_bytes
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772.zarr,True,True,11569404
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265.zarr,True,True,11319008
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.23084836536722595275828690293168736174,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.23084836536722595275828690293168736174,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.23084836536722595275828690293168736174.zarr,True,True,10642748
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697.zarr,True,True,10060864
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,1.2.826.0.1.3680043.8.498.75714899997203615784077798038670363546,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.75714899997203615784077798038670363546,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260/1.2.826.0.1.3680043.8.498.75714899997203615784077798038670363546.zarr,True,True,18057682
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.27845969797953115400959653384511165237,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.27845969797953115400959653384511165237,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.27845969797953115400959653384511165237.zarr,True,True,40159088
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.72137122913943091996840828871969421711,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.72137122913943091996840828871969421711,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.72137122913943091996840828871969421711.zarr,True,True,40159292
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.83327574802189551711953505990029424266,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.83327574802189551711953505990029424266,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.83327574802189551711953505990029424266.zarr,True,True,31186742
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.87374594163896635184044513927478147680,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.87374594163896635184044513927478147680,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.87374594163896635184044513927478147680.zarr,True,True,20780730
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,1.2.826.0.1.3680043.8.498.99023014295026495734071089488213553280,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.99023014295026495734071089488213553280,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585/1.2.826.0.1.3680043.8.498.99023014295026495734071089488213553280.zarr,True,True,20780850
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.12689544351656485342798482846432921455,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.12689544351656485342798482846432921455,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.12689544351656485342798482846432921455.zarr,True,True,13209224
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.26515132645256697953312631089055309042,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.26515132645256697953312631089055309042,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.26515132645256697953312631089055309042.zarr,True,True,16685220
